Bloco,Coluna,Cardinalidade,Percentual Ignorado Ou Não Preenchido
Perfil Integrado,Ocupação Macro,11,0.0
Perfil Integrado,Mecanismo Lesão Autoprovocada,10,0.0
Perfil Integrado,Faixa Etária,8,0.0
Perfil Integrado,Local Ocorrência Consolidado,7,0.0
Perfil Integrado,Escolaridade,6,0.0
Perfil Integrado,Raça Cor,6,0.0
Perfil Integrado,Estado Civil,5,0.0
Perfil Integrado,Região Residência,5,0.0
Perfil Integrado,Deslocamento Geográfico,3,0.0
Perfil Integrado,Sexo,3,0.0
Perfil Integrado,Indício Transtorno Mental,2,0.0
Perfil Integrado,Indício Transtorno Por Substâncias,2,0.0
