Classe Lca,Dimensão,Indicador,Categoria,Indicador Curto,Categoria Curta,Rotulo Figura,Lift Vs Global,Probabilidade Condicional,Pct Global,Categoria Substantiva,Usou Filtro Presenca Minima,Observacao Seleção
0,Demográfica,Faixa Etária,<15,Faixa etária,<15,Faixa etária = <15,7.575166837103477,0.0932297721975148,0.0123072896217772,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
0,Socioeconômica/Ocupacional,Ocupação Macro,Estudante,Ocupação,Estudante,Ocupação = Estudante,7.484997657875468,0.5132625798744183,0.0685721764166993,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
0,Territorial,Região Residência,Norte,Região,Norte,Região = Norte,2.0876905266123904,0.1602174747815084,0.0767438816908781,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
0,Circunstancial,Mecanismo Lesão Autoprovocada,"Precipitação, Veículo Ou Impacto",Meio,Precipitação/impacto,Meio = Precipitação/impacto,1.4002338519196624,0.061888100571955,0.0441984033503468,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
1,Demográfica,Sexo,Feminino,Sexo,Feminino,Sexo = Feminino,2.213245205970652,0.4770830930310354,0.2155581730140034,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
1,Socioeconômica/Ocupacional,Ocupação Macro,Construção E Manutenção,Ocupação,Construção/manut.,Ocupação = Construção/manut.,1.949677855963991,0.2547721954747972,0.1306739955503206,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
1,Territorial,Deslocamento Geográfico,Outro Município Mesma Uf,Deslocamento,Outro munic. UF,Deslocamento = Outro munic. UF,3.270043601858758,0.3632697043583023,0.1110901714435283,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
1,Circunstancial,Mecanismo Lesão Autoprovocada,"Fogo, Calor Ou Fumaça",Meio,Fogo/calor/fumaça,Meio = Fogo/calor/fumaça,8.206079946381442,0.1245356668737589,0.0151760240806177,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
2,Demográfica,Raça Cor,Parda,Raça/cor,Parda,Raça/cor = Parda,1.9516284454166224,0.831264477596535,0.4259337783012695,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
2,Socioeconômica/Ocupacional,Ocupação Macro,Agropecuária,Ocupação,Agropecuária,Ocupação = Agropecuária,2.133914652060606,0.3032331539337005,0.1421018191336212,Sim,Sim,"Categoria substantiva selecionada pelo filtro principal: Prob. Condicional >= 0,05 e Lift > 1."
